version https://git-lfs.github.com/spec/v1,team,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,year
oid sha256:895f1fb233be0d632aea9033e1ccf99eaff505b5187af91bdc6a551826d742a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size 1572689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lehigh,Lehigh,34,18,16,.529,-9.32,-7.03,11,7,13,4,4,11,2490,2515,1405,886,1909,.464,267,743,.359,451,617,.731,261,1083,487,228,113,412,543,2026.0
,liberty,Liberty,32,25,7,.781,2.49,-1.55,17,3,14,2,10,2,2501,2253,1290,892,1736,.514,340,854,.398,377,535,.705,181,931,551,202,110,283,451,2026.0
,lindenwood,Lindenwood,33,18,15,.545,-9.10,-8.43,11,9,9,5,7,9,2566,2398,1320,928,2047,.453,194,629,.308,516,759,.680,421,1295,479,293,149,446,563,2026.0
,lipscomb,Lipscomb,32,19,13,.594,-4.15,-4.75,12,6,13,1,6,11,2549,2423,1285,911,1973,.462,344,950,.362,383,508,.754,301,1107,576,224,90,361,511,2026.0
,arkansas-little-rock,Little Rock,32,12,20,.375,-12.96,-7.70,9,11,7,6,5,13,2257,2372,1280,844,1893,.446,208,585,.356,361,535,.675,363,1083,448,252,143,409,502,2026.0
,long-beach-state,Long Beach State,32,10,22,.313,-5.50,0.27,6,14,7,9,3,13,2396,2489,1295,878,1922,.457,218,658,.331,422,581,.726,301,1063,418,223,95,409,647,2026.0
,long-island-university,Long Island University,34,24,10,.706,-4.94,-7.91,15,3,14,1,10,9,2519,2418,1365,933,1941,.481,203,562,.361,450,674,.668,386,1190,464,266,183,442,599,2026.0
,longwood,Longwood,32,16,16,.500,-8.21,-7.86,8,8,11,4,4,10,2486,2370,1315,861,1874,.459,198,628,.315,566,765,.740,390,1190,405,279,75,445,625,2026.0
,louisiana-lafayette,Louisiana,33,11,22,.333,-12.02,-5.02,7,11,7,8,3,13,2101,2332,1320,740,1836,.403,250,743,.336,371,527,.704,324,1001,340,191,116,355,627,2026.0
,louisiana-state,Louisiana State,32,15,17,.469,12.69,9.76,3,15,9,8,3,7,2606,2512,1315,897,1904,.471,217,656,.331,595,779,.764,359,1180,471,191,125,352,598,2026.0
,louisiana-tech,Louisiana Tech,34,20,14,.588,-2.90,-2.96,11,9,14,3,4,10,2375,2210,1375,872,1977,.441,198,662,.299,433,649,.667,449,1309,430,251,161,415,555,2026.0
,louisiana-monroe,Louisiana-Monroe,32,4,28,.125,-18.51,-4.84,1,17,3,11,1,15,2318,2685,1290,768,1859,.413,246,772,.319,536,733,.731,299,1037,390,196,109,388,463,2026.0
,louisville,Louisville,33,23,10,.697,23.42,10.84,11,7,15,2,4,7,2797,2382,1320,948,2016,.470,380,1065,.357,519,675,.769,374,1269,564,227,110,384,608,2026.0
,loyola-il,Loyola (IL),33,9,24,.273,-6.10,2.87,4,14,6,10,1,9,2204,2500,1325,757,1792,.422,271,855,.317,419,623,.673,340,1126,460,134,125,431,557,2026.0
,loyola-md,Loyola (MD),32,12,20,.375,-13.32,-8.49,8,10,8,6,3,13,2407,2466,1300,844,1945,.434,305,914,.334,414,590,.702,341,1126,423,198,114,350,537,2026.0
,loyola-marymount,Loyola Marymount,32,15,17,.469,1.10,1.52,6,12,10,8,4,7,2376,2306,1295,853,1861,.458,260,744,.349,410,582,.704,291,1088,421,196,131,383,569,2026.0
,maine,Maine,32,8,24,.250,-16.90,-9.57,6,10,4,8,4,14,2001,2190,1280,712,1600,.445,191,599,.319,386,602,.641,201,897,393,250,102,397,531,2026.0
,manhattan,Manhattan,32,12,20,.375,-15.08,-7.89,8,12,7,7,3,12,2369,2526,1295,810,1902,.426,230,709,.324,519,653,.795,341,1061,411,251,75,341,473,2026.0
,marist,Marist,31,19,12,.613,-3.62,-8.59,12,8,11,4,7,7,2160,1979,1245,798,1808,.441,206,628,.328,358,457,.783,311,1112,473,218,96,347,521,2026.0
,marquette,Marquette,32,12,20,.375,9.22,9.85,7,13,10,7,2,10,2405,2425,1295,856,1954,.438,261,824,.317,432,640,.675,355,1095,497,299,98,364,545,2026.0
,marshall,Marshall,32,19,13,.594,-2.82,-4.40,11,7,13,4,6,8,2596,2497,1280,927,1975,.469,322,876,.368,420,574,.732,363,1178,532,198,155,373,646,2026.0
,maryland,Maryland,33,12,21,.364,4.81,11.69,4,16,7,8,2,10,2300,2527,1325,764,1878,.407,279,880,.317,493,683,.722,402,1168,345,157,97,410,595,2026.0
,maryland-baltimore-county,Maryland-Baltimore County,32,24,8,.750,-4.39,-11.86,14,2,15,2,9,6,2439,2144,1290,861,1827,.471,259,717,.361,458,601,.762,263,1135,389,161,82,307,424,2026.0
,maryland-eastern-shore,Maryland-Eastern Shore,32,9,23,.281,-17.47,-8.34,5,9,6,4,2,18,2060,2265,1305,765,1722,.444,172,574,.300,358,499,.717,335,1040,431,183,84,505,578,2026.0
,massachusetts,Massachusetts,33,17,16,.515,-2.13,-3.22,7,11,11,5,2,8,2648,2562,1350,951,2027,.469,248,716,.346,498,741,.672,401,1237,562,220,72,429,685,2026.0
,massachusetts-lowell,Massachusetts-Lowell,33,15,18,.455,-14.10,-8.40,9,7,10,4,5,14,2471,2518,1320,901,1956,.461,195,605,.322,474,711,.667,406,1236,412,173,101,403,485,2026.0
,mcneese-state,McNeese State,33,28,5,.848,7.78,-2.03,19,3,14,0,9,5,2641,2193,1335,928,1985,.468,220,689,.319,565,756,.747,418,1162,467,348,143,317,618,2026.0
,memphis,Memphis,32,13,19,.406,3.96,5.43,8,10,10,6,3,10,2407,2454,1290,853,1966,.434,209,662,.316,492,682,.721,419,1179,425,270,138,435,648,2026.0
,mercer,Mercer,32,19,13,.594,-2.85,-5.19,11,7,14,1,5,11,2646,2416,1280,915,1978,.463,280,803,.349,536,741,.723,393,1204,440,252,110,333,494,2026.0
,mercyhurst,Mercyhurst,34,17,17,.500,-9.85,-9.44,10,8,12,3,5,14,2358,2291,1381,898,1984,.453,204,624,.327,358,494,.725,308,1110,498,246,129,322,620,2026.0
,merrimack,Merrimack,34,23,11,.676,-4.27,-6.33,17,3,11,0,9,8,2330,2260,1375,755,1816,.416,274,837,.327,546,693,.788,276,975,423,279,175,325,555,2026.0
,miami-fl,Miami (FL),33,25,8,.758,18.05,7.29,13,5,15,3,8,2,2704,2349,1320,989,1974,.501,217,625,.347,507,740,.685,404,1231,531,260,112,370,510,2026.0
,miami-oh,Miami (OH),32,31,1,.969,5.38,-5.48,18,0,16,0,14,0,2902,2409,1300,1001,1909,.524,334,853,.392,566,756,.749,265,1135,516,238,107,335,515,2026.0
,michigan,Michigan,33,31,2,.939,32.93,14.54,19,1,14,1,11,0,2880,2273,1326,1004,1982,.507,301,831,.362,571,765,.746,363,1326,613,192,197,400,513,2026.0
,michigan-state,Michigan State,32,25,7,.781,23.46,12.92,15,5,15,2,6,4,2526,2189,1290,882,1874,.471,245,682,.359,517,678,.763,407,1275,591,164,131,368,521,2026.0
,middle-tennessee,Middle Tennessee,32,17,15,.531,0.26,1.39,11,9,11,4,5,8,2414,2329,1310,845,1901,.445,297,873,.340,427,608,.702,356,1159,456,197,136,368,546,2026.0
,milwaukee,Milwaukee,32,12,20,.375,-7.49,-2.23,8,12,8,6,3,14,2440,2548,1280,880,1982,.444,240,744,.323,440,638,.690,402,1153,426,216,94,333,601,2026.0
,minnesota,Minnesota,32,15,17,.469,10.46,8.96,8,12,13,4,2,9,2241,2193,1295,772,1678,.460,275,791,.348,422,603,.700,273,993,556,207,85,339,470,2026.0
,mississippi,Mississippi,35,15,20,.429,11.14,11.37,4,14,7,9,3,7,2656,2664,1425,942,2114,.446,249,751,.332,523,698,.749,351,1201,473,248,151,341,675,2026.0
,mississippi-state,Mississippi State,32,13,19,.406,7.29,11.47,5,13,8,8,4,6,2484,2618,1295,907,2016,.450,262,809,.324,408,618,.660,363,1223,409,185,140,372,516,2026.0
,mississippi-valley-state,Mississippi Valley State,33,3,30,.091,-28.34,-7.88,2,16,2,9,1,18,2120,2739,1331,754,1835,.411,170,566,.300,442,619,.714,303,1007,403,239,85,507,705,2026.0
,missouri,Missouri,32,20,12,.625,13.08,8.77,10,8,15,3,5,7,2549,2411,1290,894,1823,.490,230,657,.350,531,774,.686,371,1139,452,213,111,396,564,2026.0
,missouri-state,Missouri State,34,16,18,.471,-2.65,-1.39,8,12,11,7,3,10,2551,2502,1380,870,1933,.450,260,790,.329,551,814,.677,392,1176,492,231,105,379,595,2026.0
,monmouth,Monmouth,34,19,15,.559,-2.10,-3.13,11,7,10,4,6,9,2471,2409,1375,875,1992,.439,235,683,.344,486,651,.747,379,1190,471,265,147,386,540,2026.0
,montana,Montana,34,18,16,.529,-2.32,-0.45,10,8,11,6,5,9,2627,2535,1360,909,1857,.489,278,777,.358,531,690,.770,225,1169,504,190,81,465,601,2026.0
,montana-state,Montana State,32,18,14,.563,1.10,-1.04,12,6,11,2,6,11,2493,2285,1290,878,1882,.467,317,854,.371,420,564,.745,298,1059,366,219,91,320,502,2026.0
,morehead-state,Morehead State,33,20,13,.606,-11.11,-7.55,15,5,11,2,7,10,2484,2466,1330,883,1913,.462,195,586,.333,523,713,.734,405,1189,443,216,101,388,568,2026.0
,morgan-state,Morgan State,30,14,16,.467,-19.25,-10.91,10,4,9,6,5,9,2258,2347,1207,750,1769,.424,209,632,.331,549,740,.742,342,1048,395,149,107,377,642,2026.0
,mount-st-marys,Mount St. Mary's,32,15,17,.469,-10.34,-7.21,11,9,8,5,7,11,2178,2244,1285,773,1765,.438,247,760,.325,385,574,.671,348,1187,436,196,96,487,572,2026.0
,murray-state,Murray State,32,20,12,.625,3.91,0.51,12,8,12,3,5,6,2667,2558,1280,894,1945,.460,303,871,.348,576,761,.757,375,1166,441,191,129,374,597,2026.0
,navy,Navy,33,26,7,.788,-0.85,-9.88,17,1,15,2,10,4,2465,2105,1335,858,1802,.476,217,603,.360,532,724,.735,345,1208,537,253,105,372,473,2026.0
,north-carolina-state,NC State,33,20,13,.606,18.03,10.85,10,8,11,6,6,4,2762,2525,1335,939,2006,.468,342,881,.388,542,706,.768,325,1139,515,266,111,305,599,2026.0
,nebraska,Nebraska,32,26,6,.813,21.54,10.48,15,5,16,2,7,3,2473,2119,1290,876,1884,.465,337,956,.353,384,512,.750,281,1117,575,232,82,312,456,2026.0
,nevada,Nevada,34,22,12,.647,10.18,5.83,12,8,15,2,4,8,2582,2434,1380,842,1920,.439,225,621,.362,673,895,.752,383,1224,482,227,129,344,619,2026.0
,nevada-las-vegas,Nevada-Las Vegas,33,17,16,.515,5.64,6.11,11,9,10,6,6,6,2620,2593,1335,915,1947,.470,243,697,.349,547,796,.687,365,1155,470,250,157,398,706,2026.0
,new-hampshire,New Hampshire,30,9,21,.300,-16.97,-7.25,5,11,8,5,1,16,2076,2238,1230,743,1816,.409,244,789,.309,344,521,.660,313,1064,335,186,66,336,528,2026.0
,new-haven,New Haven,31,14,17,.452,-13.63,-7.67,9,9,9,6,5,11,2013,2055,1240,728,1650,.441,208,665,.313,349,507,.688,243,973,375,203,71,343,431,2026.0
,new-mexico,New Mexico,33,23,10,.697,13.53,5.06,13,7,14,3,7,5,2658,2337,1320,913,1985,.460,308,851,.362,524,721,.727,355,1204,491,262,94,354,584,2026.0
,new-mexico-state,New Mexico State,32,16,16,.500,-1.27,-1.34,8,12,10,5,3,8,2403,2303,1295,831,1942,.428,241,740,.326,498,684,.728,396,1216,414,206,101,336,638,2026.0
,new-orleans,New Orleans,33,15,18,.455,-3.95,-0.79,12,10,5,6,9,11,2459,2563,1330,814,1839,.443,197,620,.318,634,853,.743,399,1236,427,191,124,474,647,2026.0
,niagara,Niagara,30,8,22,.267,-16.26,-7.84,5,15,6,7,2,14,1916,2137,1205,701,1589,.441,213,638,.334,301,415,.725,239,875,420,169,87,358,455,2026.0
,nicholls-state,Nicholls State,33,14,19,.424,-6.75,-2.04,12,10,6,6,7,12,2388,2471,1320,834,1913,.436,282,845,.334,438,657,.667,346,1027,435,296,89,392,586,2026.0
,njit,NJIT,33,16,17,.485,-15.76,-8.26,10,6,8,6,8,11,2212,2417,1322,768,1893,.406,233,770,.303,443,627,.707,325,1138,355,220,106,382,601,2026.0
,norfolk-state,Norfolk State,32,15,17,.469,-13.55,-10.52,8,6,9,4,5,10,2445,2362,1280,857,1848,.464,188,559,.336,543,784,.693,371,1112,382,227,95,394,626,2026.0
,north-alabama,North Alabama,30,9,21,.300,-15.63,-5.49,4,14,5,8,4,12,2082,2328,1210,735,1687,.436,174,570,.305,438,637,.688,331,1003,302,196,113,343,445,2026.0
,north-carolina,North Carolina,32,24,8,.750,19.40,10.94,12,6,18,0,4,6,2553,2282,1280,896,1895,.473,276,801,.345,485,709,.684,345,1217,511,171,110,309,468,2026.0
,north-carolina-at,North Carolina A&T,30,11,19,.367,-9.55,-4.94,4,14,6,6,4,11,2252,2335,1205,770,1672,.461,172,543,.317,540,754,.716,321,1108,358,160,117,385,539,2026.0
,north-carolina-central,North Carolina Central,32,14,18,.438,-18.13,-8.49,8,6,8,5,4,12,2299,2415,1285,794,1807,.439,200,609,.328,511,702,.728,346,1009,435,281,113,389,568,2026.0
,north-dakota,North Dakota,35,18,17,.514,-8.92,-3.51,10,6,9,7,7,8,2680,2705,1410,926,2118,.437,283,853,.332,545,774,.704,376,1159,398,297,90,343,699,2026.0
,north-dakota-state,North Dakota State,34,27,7,.794,2.51,-5.78,14,2,13,1,10,5,2745,2366,1380,979,2091,.468,320,876,.365,467,644,.725,395,1239,528,283,97,366,499,2026.0
,north-florida,North Florida,32,7,25,.219,-15.39,-2.96,5,13,5,8,2,14,2547,2821,1285,878,1967,.446,353,1006,.351,438,566,.774,300,1032,444,162,44,401,578,2026.0
,north-texas,North Texas,33,19,14,.576,2.09,1.16,9,9,12,5,5,7,2341,2225,1350,812,1910,.425,186,621,.300,529,763,.693,401,1163,415,308,144,376,642,2026.0
,northeastern,Northeastern,31,7,24,.226,-8.87,-2.81,2,16,2,10,3,13,2322,2510,1245,855,1856,.461,236,701,.337,376,545,.690,296,979,476,216,92,355,597,2026.0
,northern-arizona,Northern Arizona,32,10,22,.313,-10.72,-1.20,4,14,9,7,1,13,2282,2445,1280,823,1769,.465,239,651,.367,397,583,.681,253,952,426,220,87,336,554,2026.0
,northern-colorado,Northern Colorado,32,20,12,.625,0.31,-2.45,10,8,11,3,8,7,2640,2449,1300,967,1972,.490,306,846,.362,400,527,.759,301,1172,530,139,85,348,572,2026.0
,northern-illinois,Northern Illinois,30,9,21,.300,-14.76,-2.22,4,14,6,7,3,14,2086,2334,1200,708,1703,.416,239,766,.312,431,649,.664,353,1040,374,181,56,446,549,2026.0
,northern-iowa,Northern Iowa,35,23,12,.657,8.52,1.52,11,9,12,5,6,6,2447,2144,1410,916,1921,.477,272,767,.355,343,491,.699,240,1118,526,226,109,327,534,2026.0
,northern-kentucky,Northern Kentucky,34,20,14,.588,-2.43,-4.65,10,10,12,5,7,8,2827,2634,1370,982,2101,.467,320,937,.342,543,761,.714,405,1205,536,293,120,402,626,2026.0
,northwestern,Northwestern,34,15,19,.441,12.61,11.43,5,15,9,7,3,8,2487,2447,1365,890,1929,.461,216,655,.330,491,654,.751,309,1037,586,197,121,290,582,2026.0
,northwestern-state,Northwestern State,32,10,22,.313,-9.29,-2.46,8,14,8,6,2,15,2185,2317,1285,743,1699,.437,191,575,.332,508,685,.742,284,1005,382,206,76,374,533,2026.0
,notre-dame,Notre Dame,31,13,18,.419,9.07,9.94,4,14,10,7,2,9,2308,2335,1260,801,1799,.445,279,783,.356,427,613,.697,343,1135,380,138,69,356,554,2026.0
,oakland,Oakland,32,16,16,.500,-1.33,-0.10,12,8,7,6,8,9,2642,2614,1280,927,1957,.474,231,664,.348,557,743,.750,354,1119,504,244,116,335,487,2026.0
,ohio,Ohio,32,15,17,.469,-4.63,-1.33,9,9,10,6,4,8,2492,2515,1290,884,1916,.461,224,728,.308,500,708,.706,322,1076,432,196,114,348,572,2026.0
,ohio-state,Ohio State,33,21,12,.636,19.10,12.10,12,8,14,3,5,6,2633,2402,1335,912,1850,.493,267,741,.360,542,699,.775,307,1097,474,161,79,343,584,2026.0
,oklahoma,Oklahoma,34,19,15,.559,15.02,9.38,7,11,11,5,4,7,2813,2621,1370,966,2054,.470,331,900,.368,550,738,.745,393,1216,485,213,128,338,594,2026.0
,oklahoma-state,Oklahoma State,33,19,14,.576,11.93,10.57,6,12,14,5,2,7,2781,2736,1335,957,2080,.460,252,746,.338,615,819,.751,381,1254,488,238,87,394,570,2026.0
,old-dominion,Old Dominion,33,12,21,.364,-7.18,-4.18,7,11,7,6,4,14,2514,2570,1330,878,1978,.444,254,717,.354,504,687,.734,314,1151,432,189,104,360,637,2026.0
,nebraska-omaha,Omaha,33,16,17,.485,-7.24,-3.48,8,8,10,4,5,10,2507,2522,1325,882,1905,.463,279,792,.352,464,631,.735,295,1139,431,190,93,365,550,2026.0
,oral-roberts,Oral Roberts,33,10,23,.303,-10.10,-2.20,4,12,7,8,1,13,2420,2558,1330,811,1896,.428,282,874,.323,516,694,.744,342,1152,392,198,111,440,651,2026.0
,oregon,Oregon,32,12,20,.375,8.96,12.06,5,15,10,7,2,8,2267,2366,1285,776,1822,.426,250,780,.321,465,637,.730,358,1100,458,194,126,377,498,2026.0
,oregon-state,Oregon State,33,17,16,.515,0.80,3.83,9,9,12,5,4,7,2347,2447,1340,747,1749,.427,271,774,.350,582,754,.772,284,1070,457,182,121,393,586,2026.0
,pacific,Pacific,33,18,15,.545,4.36,2.84,8,10,11,3,4,11,2399,2271,1325,870,1867,.466,239,663,.360,420,557,.754,386,1260,505,179,75,430,599,2026.0
,penn-state,Penn State,32,12,20,.375,4.01,9.66,3,17,9,8,2,9,2358,2539,1280,841,1795,.469,221,683,.324,455,607,.750,266,927,406,222,54,337,496,2026.0
,pennsylvania,Pennsylvania,28,17,11,.607,-0.86,-1.97,9,5,12,2,4,8,2119,2042,1125,737,1676,.440,220,578,.381,425,620,.685,323,1019,388,191,87,301,466,2026.0
,pepperdine,Pepperdine,32,9,23,.281,-5.84,3.46,4,14,7,10,2,11,2312,2546,1290,806,1889,.427,231,728,.317,469,625,.750,356,1086,451,193,90,410,495,2026.0
,pittsburgh,Pittsburgh,33,13,20,.394,8.60,9.90,5,13,8,10,3,8,2327,2370,1330,834,1899,.439,270,809,.334,389,577,.674,391,1139,436,216,102,371,535,2026.0
,portland,Portland,34,15,19,.441,-2.06,3.97,6,12,12,6,1,12,2530,2669,1370,907,1947,.466,205,678,.302,511,692,.738,322,1149,563,201,99,465,595,2026.0
,portland-state,Portland State,31,20,11,.645,0.07,-2.64,13,5,11,3,8,7,2376,2179,1250,851,1848,.460,207,637,.325,467,660,.708,347,1143,449,236,118,361,609,2026.0
,prairie-view,Prairie View,35,18,17,.514,-12.71,-9.91,9,9,10,3,3,13,2761,2662,1405,932,2102,.443,216,646,.334,681,904,.753,352,1189,418,278,163,417,670,2026.0
,presbyterian,Presbyterian,33,15,18,.455,-8.30,-5.20,7,9,10,4,3,13,2388,2382,1335,861,1813,.475,170,527,.323,496,724,.685,362,1167,433,189,152,429,585,2026.0
,princeton,Princeton,29,9,20,.310,-6.91,-1.94,5,9,8,4,1,12,1989,2087,1170,671,1582,.424,241,706,.341,406,540,.752,274,967,371,138,63,320,478,2026.0
,providence,Providence,33,15,18,.455,10.84,9.54,7,13,10,6,3,8,2815,2772,1355,973,2044,.476,301,828,.364,568,750,.757,363,1271,462,177,129,408,607,2026.0
,purdue,Purdue,34,26,8,.765,25.22,13.60,13,7,12,5,8,3,2778,2383,1365,1014,2037,.498,321,843,.381,429,577,.744,388,1211,676,190,92,308,501,2026.0
,ipfw,Purdue Fort Wayne,32,17,15,.531,-7.25,-2.70,11,9,11,4,6,11,2499,2467,1280,895,1920,.466,300,853,.352,409,575,.711,257,969,440,273,101,318,499,2026.0
,queens-nc,Queens (NC),34,21,13,.618,-3.29,-4.96,13,5,12,2,6,10,2886,2820,1370,987,2046,.482,346,962,.360,566,766,.739,348,1149,541,201,100,363,675,2026.0
,quinnipiac,Quinnipiac,32,19,13,.594,-5.46,-7.00,12,8,10,5,9,7,2411,2303,1290,860,2004,.429,236,683,.346,455,664,.685,406,1183,434,253,142,351,521,2026.0
,radford,Radford,32,16,16,.500,-7.11,-6.18,9,7,12,5,4,8,2604,2523,1300,874,1951,.448,303,887,.342,553,783,.706,375,1148,417,252,112,400,585,2026.0
,rhode-island,Rhode Island,32,16,16,.500,2.45,0.76,7,11,10,6,4,7,2236,2182,1290,758,1748,.434,236,760,.311,484,671,.721,339,1053,363,269,117,409,582,2026.0
,rice,Rice,31,13,18,.419,-4.46,0.30,7,11,8,8,4,9,2291,2311,1260,785,1870,.420,286,822,.348,435,635,.685,430,1180,379,207,121,376,573,2026.0
,richmond,Richmond,32,15,17,.469,2.27,0.30,5,13,11,7,3,8,2455,2366,1285,828,1851,.447,288,792,.364,511,679,.753,277,1059,453,225,74,311,573,2026.0
,rider,Rider,29,4,25,.138,-19.13,-4.99,3,17,4,9,0,16,1840,2204,1160,673,1703,.395,129,469,.275,365,525,.695,366,1014,299,175,98,326,470,2026.0
,robert-morris,Robert Morris,33,22,11,.667,-1.27,-4.69,13,7,14,3,8,7,2555,2379,1345,941,1986,.474,297,797,.373,376,543,.692,434,1243,585,190,85,414,594,2026.0
,rutgers,Rutgers,33,14,19,.424,4.91,9.46,6,14,10,7,2,9,2329,2479,1336,800,1912,.418,217,662,.328,512,691,.741,352,1080,405,202,113,335,547,2026.0
,sacramento-state,Sacramento State,31,10,21,.323,-7.78,-0.06,6,12,10,4,0,16,2408,2542,1245,791,1881,.421,231,693,.333,595,766,.777,298,1063,402,236,99,323,575,2026.0
,sacred-heart,Sacred Heart,33,14,19,.424,-11.26,-8.04,9,11,8,5,5,13,2482,2528,1325,839,1932,.434,351,979,.359,453,583,.777,338,1151,492,189,97,399,490,2026.0
,saint-francis-pa,Saint Francis (PA),31,7,24,.226,-18.85,-5.82,5,13,5,8,2,14,2216,2510,1245,793,1843,.430,239,702,.340,391,563,.694,324,1012,416,230,64,401,566,2026.0
,saint-josephs,Saint Joseph's,33,22,11,.667,2.65,0.97,13,5,13,3,6,7,2419,2306,1325,847,1972,.430,273,885,.308,452,608,.743,384,1280,516,181,157,387,461,2026.0
,saint-louis,Saint Louis,33,28,5,.848,17.29,1.54,15,3,19,0,7,3,2879,2294,1320,1008,1980,.509,360,898,.401,503,676,.744,338,1318,605,236,115,411,604,2026.0
,saint-marys-ca,Saint Mary's (CA),32,27,5,.844,17.91,5.58,16,2,17,0,8,2,2502,2066,1280,852,1847,.461,260,669,.389,538,668,.805,398,1291,495,180,116,346,500,2026.0
,saint-peters,Saint Peter's,29,17,12,.586,-7.44,-7.58,14,6,13,1,4,10,2054,1984,1170,702,1705,.412,213,668,.319,437,596,.733,400,1035,377,261,113,337,579,2026.0
,sam-houston-state,Sam Houston,33,22,11,.667,3.59,-0.41,13,7,13,1,6,9,2714,2447,1320,962,2073,.464,277,754,.367,513,711,.722,455,1343,506,239,93,388,578,2026.0
,samford,Samford,32,18,14,.563,-5.26,-6.09,11,7,11,3,6,9,2525,2409,1295,845,1862,.454,310,865,.358,525,762,.689,292,1164,473,147,89,295,513,2026.0
,san-diego,San Diego,33,12,21,.364,-3.46,2.57,5,13,9,8,2,11,2458,2570,1335,884,1989,.444,303,858,.353,387,512,.756,336,1047,530,259,91,412,597,2026.0
,san-diego-state,San Diego State,33,22,11,.667,13.65,8.15,14,6,14,2,5,5,2580,2342,1345,911,1921,.474,221,637,.347,537,735,.731,334,1171,494,252,151,399,625,2026.0
,san-francisco,San Francisco,33,17,16,.515,4.41,4.25,8,10,9,6,4,7,2464,2414,1330,819,1876,.437,299,861,.347,527,739,.713,361,1190,460,176,99,359,566,2026.0
,san-jose-state,San Jose State,33,9,24,.273,-1.98,6.43,3,17,6,10,1,12,2376,2591,1325,827,1893,.437,259,723,.358,463,633,.731,340,980,354,190,74,333,582,2026.0
,santa-clara,Santa Clara,34,26,8,.765,15.90,6.08,15,3,14,1,8,3,2817,2463,1360,1032,2205,.468,344,994,.346,409,556,.736,445,1214,570,303,126,368,663,2026.0
,seattle,Seattle,33,20,13,.606,4.44,2.73,8,10,13,4,5,7,2373,2211,1326,834,1898,.439,238,726,.328,467,663,.704,302,1087,440,264,158,384,545,2026.0
,seton-hall,Seton Hall,33,21,12,.636,13.46,8.46,10,10,12,5,6,5,2321,2156,1320,837,1922,.435,157,515,.305,490,678,.723,412,1180,432,304,187,366,620,2026.0
,siena,Siena,34,23,11,.676,-4.33,-9.18,13,7,9,4,9,7,2398,2233,1365,860,1882,.457,183,601,.304,495,644,.769,346,1170,456,197,106,351,467,2026.0
,south-alabama,South Alabama,32,21,11,.656,-4.38,-6.74,11,7,10,4,8,6,2387,2234,1305,843,1808,.466,231,663,.348,470,712,.660,277,1137,379,259,72,279,405,2026.0
,south-carolina,South Carolina,32,13,19,.406,7.64,9.17,4,14,11,8,2,8,2398,2447,1295,805,1855,.434,256,824,.311,532,681,.781,296,1042,426,176,76,318,563,2026.0
,south-carolina-state,South Carolina State,32,10,22,.313,-21.78,-8.61,7,7,6,5,3,16,2147,2522,1280,732,1775,.412,197,584,.337,486,727,.669,355,993,387,223,124,473,685,2026.0
,south-carolina-upstate,South Carolina Upstate,32,13,19,.406,-10.23,-5.54,5,11,10,5,3,13,2376,2357,1300,855,1941,.440,231,704,.328,435,635,.685,354,1177,411,213,150,400,584,2026.0
,south-dakota,South Dakota,32,16,16,.500,-8.59,-4.87,8,8,12,5,3,10,2547,2566,1300,851,1886,.451,223,672,.332,622,844,.737,343,1101,394,199,79,378,493,2026.0
,south-dakota-state,South Dakota State,32,14,18,.438,-3.08,-2.94,7,9,9,4,4,9,2413,2331,1285,875,1902,.460,257,747,.344,406,571,.711,350,1194,457,184,73,354,535,2026.0
,south-florida,South Florida,32,24,8,.750,12.98,2.43,15,3,13,2,9,3,2825,2437,1305,933,2117,.441,312,936,.333,647,871,.743,498,1370,554,293,133,358,625,2026.0
,southeast-missouri-state,Southeast Missouri State,33,20,13,.606,-6.84,-7.81,14,6,10,5,8,7,2460,2331,1325,867,1928,.450,212,699,.303,514,738,.696,328,1124,411,224,121,388,655,2026.0
,southeastern-louisiana,Southeastern Louisiana,31,9,22,.290,-9.29,-2.83,6,16,5,7,2,15,2016,2184,1245,689,1665,.414,187,661,.283,451,659,.684,315,992,361,215,87,385,550,2026.0
,southern,Southern,34,17,17,.500,-10.98,-6.95,11,7,8,4,7,12,2707,2650,1375,947,2089,.453,237,679,.349,576,825,.698,399,1209,511,317,130,406,637,2026.0
,southern-california,Southern California,32,18,14,.563,10.59,11.17,7,13,9,7,5,6,2515,2494,1305,857,1888,.454,199,634,.314,602,832,.724,364,1168,490,203,181,399,598,2026.0
,southern-illinois,Southern Illinois,32,16,16,.500,3.10,0.88,10,10,8,6,7,8,2336,2226,1295,880,1946,.452,160,576,.278,416,613,.679,364,1223,433,257,114,385,546,2026.0
,southern-illinois-edwardsville,SIU Edwardsville,32,19,13,.594,-8.44,-10.24,12,8,10,5,8,7,2271,2070,1290,826,1857,.445,234,675,.347,385,570,.675,350,1173,422,243,126,375,516,2026.0
,southern-indiana,Southern Indiana,30,7,23,.233,-16.22,-8.97,4,16,3,10,4,11,2061,2210,1210,700,1812,.386,227,733,.310,434,662,.656,395,1125,310,190,127,359,512,2026.0
