,TeamID,yr,school,pct_win_rd,rd
359,1281,2021,missouri,0.1,6
360,1286,2022,montana state,7.8,1
361,1286,2022,montana state,2.7,2
362,1286,2022,montana state,0.7,3
363,1286,2022,montana state,0.3,4
364,1286,2022,montana state,0.1,5
365,1286,2022,montana state,0.1,6
366,1287,2021,morehead state,8.2,1
367,1287,2021,morehead state,2.5,2
368,1287,2021,morehead state,0.8,3
369,1287,2021,morehead state,0.3,4
370,1287,2021,morehead state,0.1,5
371,1287,2021,morehead state,0.1,6
372,1293,2022,murray state,68.2,1
373,1293,2022,murray state,10.7,2
374,1293,2022,murray state,4.0,3
375,1293,2022,murray state,1.4,4
376,1293,2022,murray state,0.4,5
377,1293,2022,murray state,0.2,6
378,1308,2022,new mexico st,19.7,1
379,1308,2022,new mexico st,4.9,2
380,1308,2022,new mexico st,0.8,3
381,1308,2022,new mexico st,0.3,4
382,1308,2022,new mexico st,0.1,5
383,1308,2022,new mexico st,0.1,6
384,1313,2021,norfolk st,2.7,1
385,1313,2021,norfolk st,1.2,2
386,1313,2021,norfolk st,0.7,3
387,1313,2021,norfolk st,0.4,4
388,1313,2021,norfolk st,0.2,5
389,1313,2021,norfolk st,0.1,6
390,1313,2022,norfolk state,3.8,1
391,1313,2022,norfolk state,1.5,2
392,1313,2022,norfolk state,0.8,3
393,1313,2022,norfolk state,0.5,4
394,1313,2022,norfolk state,0.2,5
395,1313,2022,norfolk state,0.1,6
396,1314,2021,north carolina,53.6,1
397,1314,2021,north carolina,9.8,2
398,1314,2021,north carolina,5.5,3
399,1314,2021,north carolina,2.8,4
400,1314,2021,north carolina,1.4,5
401,1314,2021,north carolina,0.8,6
402,1314,2022,north carolina,66.3,1
403,1314,2022,north carolina,14.9,2
404,1314,2022,north carolina,7.1,3
405,1314,2022,north carolina,2.7,4
406,1314,2022,north carolina,1.1,5
407,1314,2022,north carolina,0.7,6
408,1317,2021,north texas,12.5,1
409,1317,2021,north texas,3.6,2
410,1317,2021,north texas,0.8,3
411,1317,2021,north texas,0.3,4
412,1317,2021,north texas,0.1,5
413,1317,2021,north texas,0.1,6
414,1323,2022,notre dame,28.6,1
415,1323,2022,notre dame,5.7,2
416,1323,2022,notre dame,1.4,3
417,1323,2022,notre dame,0.4,4
418,1323,2022,notre dame,0.2,5
419,1323,2022,notre dame,0.1,6
420,1325,2021,ohio,23.2,1
421,1325,2021,ohio,10.1,2
422,1325,2021,ohio,1.1,3
423,1325,2021,ohio,0.4,4
424,1325,2021,ohio,0.2,5
425,1325,2021,ohio,0.1,6
426,1326,2021,ohio state,95.2,1
427,1326,2021,ohio state,79.5,2
428,1326,2021,ohio state,54.5,3
429,1326,2021,ohio state,22.7,4
430,1326,2021,ohio state,9.4,5
431,1326,2021,ohio state,3.5,6
432,1326,2022,ohio state,51.5,1
433,1326,2022,ohio state,11.4,2
434,1326,2022,ohio state,4.1,3
435,1326,2022,ohio state,1.3,4
436,1326,2022,ohio state,0.6,5
437,1326,2022,ohio state,0.3,6
438,1328,2021,oklahoma,57.2,1
439,1328,2021,oklahoma,4.4,2
440,1328,2021,oklahoma,2.1,3
441,1328,2021,oklahoma,0.9,4
442,1328,2021,oklahoma,0.4,5
443,1328,2021,oklahoma,0.2,6
444,1329,2021,oklahoma state,84.3,1
445,1329,2021,oklahoma state,55.1,2
446,1329,2021,oklahoma state,14.1,3
447,1329,2021,oklahoma state,8.8,4
448,1329,2021,oklahoma state,4.0,5
449,1329,2021,oklahoma state,1.5,6
450,1331,2021,oral roberts,4.8,1
451,1331,2021,oral roberts,1.9,2
452,1331,2021,oral roberts,0.9,3
453,1331,2021,oral roberts,0.3,4
454,1331,2021,oral roberts,0.1,5
455,1331,2021,oral roberts,0.1,6
456,1332,2021,oregon,65.2,1
457,1332,2021,oregon,14.7,2
458,1332,2021,oregon,6.2,3
