version https://git-lfs.github.com/spec/v1,team,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,year
oid sha256:e71f55f5cb8ea895d20790615afb0c233f8f5354de41234ec4e70640802fd4dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size 1514983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clemson,Clemson,32,21,11,.656,18.77,9.77,11,7,12,1,7,8,2166,1878,1295,791,1832,.432,258,755,.342,326,487,.669,354,1175,414,204,86,412,485,2026.0
,cleveland-state,Cleveland State,33,24,9,.727,0.52,-7.42,13,7,17,1,5,7,2333,1977,1335,812,1813,.448,186,622,.299,523,705,.742,354,1228,458,315,70,561,542,2026.0
,coastal-carolina,Coastal Carolina,32,14,18,.438,2.11,0.11,7,11,9,7,5,10,2338,2158,1290,786,1962,.401,275,805,.342,491,710,.692,421,1292,399,323,122,573,588,2026.0
,colgate,Colgate,31,7,24,.226,-18.23,-6.20,2,16,4,9,3,14,1644,1984,1260,617,1757,.351,151,575,.263,259,355,.730,351,1081,332,202,64,503,480,2026.0
,college-of-charleston,College of Charleston,31,26,5,.839,4.01,-7.75,16,2,11,1,11,2,2311,1802,1240,850,2078,.409,230,701,.328,381,507,.751,493,1261,418,346,58,388,467,2026.0
,colorado,Colorado,33,22,11,.667,20.51,13.39,11,7,14,3,4,6,2238,2003,1325,821,1934,.425,136,493,.276,460,631,.729,437,1262,454,312,94,544,582,2026.0
,colorado-state,Colorado State,34,27,7,.794,10.56,-0.08,15,5,13,3,10,3,2262,1866,1360,807,1916,.421,224,690,.325,424,550,.771,272,1225,402,222,119,355,471,2026.0
,columbia,Columbia,28,20,8,.714,13.15,1.93,11,3,8,4,11,1,1986,1672,1130,747,1696,.440,186,595,.313,306,439,.697,398,1033,463,336,73,470,521,2026.0
,connecticut,Connecticut,34,34,0,1.000,51.91,13.53,20,0,15,0,12,0,3018,1713,1360,1184,2254,.525,322,813,.396,328,438,.749,385,1271,806,531,168,434,447,2026.0
,coppin-state,Coppin State,33,10,23,.303,-13.43,-2.17,6,8,6,6,3,13,1928,2212,1325,658,1939,.339,162,630,.257,450,660,.682,475,1290,346,298,91,737,581,2026.0
,cornell,Cornell,27,9,18,.333,-14.02,-3.33,4,10,3,9,6,9,1469,1668,1090,549,1404,.391,152,478,.318,219,315,.695,252,840,373,173,34,418,354,2026.0
,creighton,Creighton,31,16,15,.516,9.99,11.24,11,9,8,6,6,8,2093,2132,1245,753,1882,.400,267,828,.322,320,421,.760,324,1119,467,204,104,429,481,2026.0
,dartmouth,Dartmouth,27,10,17,.370,-18.29,-3.25,1,13,6,7,4,10,1506,1720,1080,536,1431,.375,172,579,.297,262,371,.706,278,900,343,164,63,429,282,2026.0
,davidson,Davidson,33,21,12,.636,10.30,2.97,12,6,13,3,7,6,2158,1916,1340,792,1856,.427,241,723,.333,333,477,.698,343,1123,426,310,108,513,531,2026.0
,dayton,Dayton,31,17,14,.548,-0.40,0.18,9,9,8,6,7,6,2076,2094,1243,759,1722,.441,173,555,.312,385,571,.674,375,1191,354,209,113,570,534,2026.0
,delaware,Delaware,32,13,19,.406,-7.26,-3.74,6,12,5,9,6,9,2018,2103,1305,724,1808,.400,178,581,.306,392,533,.735,337,1144,319,246,90,580,488,2026.0
,delaware-state,Delaware State,30,7,23,.233,-21.37,-8.59,4,10,5,8,2,13,1656,1929,1200,613,1618,.379,124,415,.299,306,486,.630,291,965,320,275,81,593,640,2026.0
,denver,Denver,30,11,19,.367,-11.23,-1.41,5,11,8,7,3,11,1816,2003,1205,656,1717,.382,196,674,.291,308,436,.706,293,984,358,250,84,483,413,2026.0
,depaul,DePaul,32,8,24,.250,-1.11,8.17,5,15,7,10,1,13,2016,2313,1280,777,2062,.377,190,657,.289,272,437,.622,454,1111,521,309,87,518,567,2026.0
,detroit-mercy,Detroit Mercy,31,7,24,.226,-13.98,-3.55,4,16,4,11,2,12,1947,2266,1240,715,1842,.388,147,551,.267,370,577,.641,367,1112,334,234,61,497,570,2026.0
,drake,Drake,32,12,20,.375,-3.90,-0.93,10,10,5,10,6,7,2279,2374,1280,834,1940,.430,216,701,.308,395,567,.697,392,1263,573,178,87,524,595,2026.0
,drexel,Drexel,31,21,10,.677,-2.83,-7.76,13,5,11,3,8,6,1970,1765,1260,747,1828,.409,149,488,.305,327,445,.735,388,1140,477,216,86,371,405,2026.0
,duke,Duke,32,24,8,.750,34.08,18.86,16,2,12,1,9,3,2372,1885,1285,889,2019,.440,206,609,.338,388,568,.683,441,1302,548,294,200,473,457,2026.0
,duquesne,Duquesne,31,12,19,.387,-5.44,-1.20,4,14,7,7,4,10,1978,2017,1250,716,1887,.379,219,674,.325,327,470,.696,435,1288,344,247,96,594,570,2026.0
,east-carolina,East Carolina,32,22,10,.688,4.37,-1.57,14,4,13,4,7,4,2278,2088,1295,802,2044,.392,186,610,.305,488,665,.734,447,1183,452,339,132,482,609,2026.0
,east-tennessee-state,East Tennessee State,31,18,13,.581,-9.03,-7.48,10,4,7,7,8,4,1770,1752,1255,615,1758,.350,165,610,.270,375,545,.688,380,1158,294,195,89,420,451,2026.0
,texas-am-commerce,East Texas A&M,30,13,17,.433,-14.21,-8.21,9,13,9,6,4,10,1917,1981,1200,684,1770,.386,182,603,.302,367,503,.730,303,1052,442,246,114,450,485,2026.0
,eastern-illinois,Eastern Illinois,31,4,27,.129,-16.72,-1.76,3,17,2,10,2,16,1764,2228,1255,625,1756,.356,185,639,.290,329,441,.746,292,1053,339,211,110,535,520,2026.0
,eastern-kentucky,Eastern Kentucky,32,24,8,.750,3.10,-8.11,15,3,14,3,10,4,2323,1892,1280,835,1971,.424,254,806,.315,399,539,.740,347,1252,497,265,124,437,471,2026.0
,eastern-michigan,Eastern Michigan,29,13,16,.448,-3.25,-1.07,6,12,8,5,5,11,1954,1963,1164,715,1697,.421,165,590,.280,359,479,.749,318,1056,389,199,74,486,531,2026.0
,eastern-washington,Eastern Washington,33,15,18,.455,-4.28,-2.02,7,11,8,6,5,11,2285,2258,1336,826,2097,.394,229,740,.309,404,572,.706,413,1371,401,217,101,520,518,2026.0
,elon,Elon,32,16,16,.500,-6.67,-7.12,10,8,10,4,4,10,2073,1998,1285,762,1908,.399,164,584,.281,385,531,.725,476,1206,420,296,72,555,576,2026.0
,evansville,Evansville,34,10,24,.294,-9.79,-2.70,5,15,4,9,3,15,2318,2559,1375,816,2085,.391,244,771,.316,442,599,.738,383,1242,511,224,103,537,668,2026.0
,fairfield,Fairfield,32,28,4,.875,11.84,-7.88,19,1,12,1,12,2,2416,1785,1280,867,1908,.454,364,985,.370,318,419,.759,297,1039,553,307,100,420,530,2026.0
,fairleigh-dickinson,FDU,33,29,4,.879,-1.40,-17.04,18,0,17,1,12,3,2270,1687,1320,840,1991,.422,305,886,.344,285,395,.722,473,1337,455,212,111,442,450,2026.0
,florida,Florida,33,18,15,.545,19.81,13.35,5,11,13,5,2,9,2417,2204,1320,872,1946,.448,177,611,.290,496,708,.701,396,1243,439,308,133,558,637,2026.0
,florida-am,Florida A&M,31,9,22,.290,-22.44,-11.14,7,11,7,6,1,15,1828,2161,1240,638,1800,.354,93,407,.229,459,653,.703,409,1118,296,224,85,558,602,2026.0
,florida-atlantic,Florida Atlantic,32,14,18,.438,-6.32,1.62,7,11,8,7,5,9,1992,2195,1295,704,1793,.393,207,674,.307,377,562,.671,315,1100,387,281,89,572,554,2026.0
,florida-gulf-coast,Florida Gulf Coast,31,16,15,.516,-1.21,-1.18,11,7,8,7,6,6,1972,1830,1240,703,1632,.431,197,639,.308,369,536,.688,277,1114,386,230,80,521,466,2026.0
,florida-international,Florida International,31,20,11,.645,-1.19,-3.39,12,6,12,4,7,6,2177,2019,1250,746,1845,.404,161,552,.292,524,759,.690,443,1136,358,365,73,608,654,2026.0
,florida-state,Florida State,31,10,21,.323,8.80,14.35,5,13,6,11,3,8,2217,2389,1255,783,2070,.378,243,792,.307,408,547,.746,395,1260,368,222,142,471,522,2026.0
,fordham,Fordham,30,10,20,.333,-7.50,-3.19,2,16,7,9,3,10,1812,1928,1215,673,1850,.364,160,567,.282,306,450,.680,463,1125,342,292,74,540,571,2026.0
,fresno-state,Fresno State,33,15,18,.455,-0.11,-0.83,8,12,8,6,4,11,2076,2004,1320,776,1980,.392,166,520,.319,358,501,.715,421,1230,349,314,58,544,646,2026.0
,furman,Furman,31,18,13,.581,-8.93,-6.15,9,5,10,6,7,6,2097,1899,1245,764,1874,.408,176,543,.324,393,623,.631,435,1232,406,351,131,554,559,2026.0
,gardner-webb,Gardner-Webb,31,12,19,.387,-19.55,-12.10,9,7,6,7,6,10,1712,1943,1240,627,1672,.375,219,696,.315,239,375,.637,310,931,335,325,73,561,510,2026.0
,george-mason,George Mason,32,23,9,.719,12.06,4.40,16,2,12,3,9,3,2156,1911,1300,781,1999,.391,205,626,.327,389,520,.748,435,1184,384,312,81,412,510,2026.0
,george-washington,George Washington,32,15,17,.469,-0.65,0.51,7,11,11,5,3,10,1947,1944,1290,705,1713,.412,171,553,.309,366,500,.732,349,1115,366,208,120,508,563,2026.0
,georgetown,Georgetown,31,14,17,.452,9.28,9.12,6,14,8,8,5,8,1942,1937,1250,695,1771,.392,182,608,.299,370,508,.728,421,1109,362,284,101,529,534,2026.0
,georgia,Georgia,31,22,9,.710,23.93,11.83,8,8,12,4,6,4,2281,1906,1250,840,1868,.450,208,623,.334,393,543,.724,323,1153,427,249,86,437,553,2026.0
,georgia-southern,Georgia Southern,30,23,7,.767,8.68,2.40,16,2,14,1,9,5,2171,1927,1215,783,1750,.447,214,632,.339,391,541,.723,298,1061,393,238,86,415,463,2026.0
,georgia-state,Georgia State,31,10,21,.323,-6.84,1.54,5,13,7,8,3,12,2146,2310,1265,741,1948,.380,211,745,.283,453,657,.689,365,1013,358,358,40,439,614,2026.0
,georgia-tech,Georgia Tech,32,14,18,.438,12.65,12.65,8,10,10,6,3,9,2106,2106,1295,767,1899,.404,153,567,.270,419,569,.736,336,1306,488,242,120,538,498,2026.0
,gonzaga,Gonzaga,33,24,9,.727,13.71,3.83,14,4,12,3,9,4,2455,2129,1344,895,1970,.454,235,603,.390,430,561,.766,437,1347,561,236,74,566,572,2026.0
,grambling,Grambling,32,13,19,.406,-16.02,-10.84,10,8,9,5,4,12,2031,2014,1285,745,2061,.361,135,579,.233,406,647,.628,541,1291,410,366,98,595,645,2026.0
